intervention_name_original	intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_source	target_gene_link	eric_review_target	target_gene_comments	best_name	regulatory_status	comment	priority	db_target	db_status	incl_count
antillanisée mini mental state examination (mmsea)	antillanisée mini mental state examination (mmsea)	diagnostic test	1	NCT03324711	none									FALSE			0
(11c)pe2i	(11c)pe2i	drug	1	NCT03675282	molecular					radiopharmaceutical	(11c)pe2i	experimental		FALSE			0
(18f)-feppa	(18f)-feppa	radiation	1	NCT02945774	molecular					radiopharmaceutical	(18f)-feppa	experimental		FALSE			0
(2)-epigallocatechin-3-gallate (egcg)	(2)-epigallocatechin-3-gallate (egcg)	drug	1	NCT01357681	molecular	unknown			2		epigallocatechin gallate	supplement		FALSE			1
0 mg tropicamide	0 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4	DB	https://go.drugbank.com/drugs/DB00809	2		tropicamide	approved		FALSE			1
0% unweighed bwstt	0% unweighed bwstt	behavioral	1	NCT03799887	behavioral									FALSE			1
0.04 mg lu ae04621	0.04 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental	Dopamine modulators	FALSE			1
0.08 mg lu ae04621	0.08 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
0.2 mg lu ae04621	0.2 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
0.3 mg tropicamide	0.3 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4	DB	https://go.drugbank.com/drugs/DB00809	2		tropicamide	approved		FALSE			1
0.4 mg lu ae04621	0.4 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
0.6 mg lu ae04621	0.6 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
0.8 mg lu ae04621	0.8 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
0.9% sodium chloride	0.9% sodium chloride	drug	1	NCT01313845	placebo									FALSE			1
0.9% sodium chloride (normal saline)	0.9% sodium chloride (normal saline)	drug	1	NCT00623363	placebo									FALSE			1
009-0	009-0 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
009-1	009-1 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
009-2	009-2 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
009-3	009-3 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
009-4	009-4 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
009-5	009-5 (Apomorphine)	drug	1	NCT03822364	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			0
