NCT02753192	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02753192","NCT02753192")		2014	Dysarthria in Parkinson's Disease: Lusophony vs. Francophony Comparison	Dysarthria in Parkinson's Disease: Lusophony vs. Francophony Comparison		N/A	Yes	Patients (Other)	Centre National de la Recherche Scientifique, France	Other		Inclusion Criteria: All participants - Age between 35 and 85 years old - Good cooperation - Ability to understand the information sheet - Given signed consent - Affiliation to a medical-social insurance regimen - Other stable medical problems not interfering with the proposed study Only for patients: - Absence of any neurological, psychiatric or behavioral pathology - Idiopathic Parkinson's disease - Absence of medication-induced psychosis, severe depression or dementia 	Exclusion Criteria: All participants - Illiteracy - French/Portuguese not as native language, or bilingual participants - Participant under tutorship or guardianship, or any other administrative or legal measure - No cooperation or withdrawn consent - Cognitive deficits, depression, psychosis or behavioral, neurological, medical, psychological disorders that may interfere with vital prognostic and evaluations Only for patients: - Non-idiopathic Parkinson's disease - (Too) severe motor impairment impeding to participate in the study			120	Anticipated	Unknown status
NCT03764215	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03764215","NCT03764215")		2018	Nilotinib in Huntington's Disease	An Open Label, Phase Ib Study to Evaluate the Impact of Low Doses of Nilotinib Treatment on Safety, Tolerability and Biomarkers in Huntington's Disease		1	No	Nilotinib 150 MG (Drug)	Georgetown University	Other		Inclusion Criteria: - Written informed consent - Capable of providing informed consent and complying with study procedures. Subjects who are unable to provide consent may use a Legally Authorized Representative (LAR). - Patients between the age of 25-90 years, medically stable - Clinical diagnosis of HD with either a confirmed family history or positive CAG repeat (CAG≥35) - MoCA ≥ 22 - Able to perform the TMT-B in ≤240 seconds - Total Functional Capacity 7-12 - Stable concomitant medical and/or psychiatric illnesses, in the judgement of the PI. - QTc interval 350-460 ms, inclusive - Participants must be willing to undergo LP at baseline and 3 months after treatment 	Exclusion Criteria: - Patients with hypokalemia, hypomagnesaemia, or long QT syndrome- QTc≥461 ms - Concomitant drugs known to prolong the QTc interval and history of any cardiovascular disease, including myocardial infarction or cardiac failure, angina, arrhythmia - History or presence of cardiac conditions including: 1. Cardiovascular or cerebrovascular event (e.g. myocardial infarction, unstable angina, or stroke) 2. Congestive heart failure 3. First, second- or third-degree atrioventricular block, sick sinus syndrome, or other serious cardiac rhythm disturbances 4. Any history of Torsade de Pointes - Treatment with any of the following drugs at the time of screening or the preceding 30 days, and/or planned use over the course of the trial: 1. Treatment with Class IA or III antiarrhythmic drugs (e.g. quinidine) 2. Treatment with QT prolonging drugs (www.crediblemeds.org)- excluding Selective Serotonin Reuptake Inhibitors (SSRIs) (e.g. Citalopram, Escitalopram, Paroxetine, Sertraline, Duloxetine, Trazodone, etc.) 3. Strong CYP3A4 inhibitors (including grapefruit juice). The concomitant use of strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, clarithromycin, atazanavir, indinavir, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, voriconazole) must be avoided. Grapefruit products may also increase serum concentrations of Nilotinib. Should treatment with any of these agents be required, therapy with Nilotinib should be interrupted. 4. Anticoagulants, including Coumadin (warfarin), heparin, enoxaparin, daltiparin, xarelto, etc. 5. St. John's Wort and the concomitant use of strong other CYP3A4 inducers (e.g., dexamethasone, phenytoin, carbamazepine, rifampin, rifabutin, rifapentine, phenobarbital) must be avoided since these agents may reduce the concentration of Nilotinib. - Abnormal liver function defined as AST and/or ALT > 100% the upper limit of the normal - Renal insufficiency as defined by a serum creatinine > 1.5 times the upper limit of normal - History of HIV, clinically significant chronic hepatitis, or other active infection - Females must not be lactating, pregnant or with possible pregnancy - Medical history of liver or pancreatic disease - Clinical signs indicating syndromes other than idiopathic PD, including corticobasal degeneration, supranuclear gaze palsy, multiple system atrophy, chronic traumatic encephalopathy, signs of frontal dementia, history of stroke, head injury or encephalitis, cerebellar signs, early severe autonomic involvement, Babinski sign .Current evidence or history in past two years of epilepsy, focal brain lesion, head injury with loss of consciousness or DSM-IV criteria for any active major psychiatric disorder including psychosis, major depression, bipolar disorder, alcohol or substance abuse - Evidence of any significant clinical disorder or laboratory finding that renders the participant unsuitable for receiving an investigational drug including clinically significant or unstable hematologic, hepatic, cardiovascular, pulmonary, gastrointestinal, endocrine, metabolic, renal or other systemic disease or laboratory abnormality - Active neoplastic disease, history of cancer five years prior to screening, including breast cancer (history of skin melanoma or stable prostate cancer are not exclusionary) - Contraindications to LP: prior lumbosacral spine surgery, severe degenerative joint disease or deformity of the spine, platelets < 100,000, use of Coumadin/warfarin, or history of a bleeding disorder - Must not be on any immunosuppressant medications (e.g. IVig) - Must not be enrolled as an active participant in another clinical study			10	Anticipated	Recruiting
NCT03854019	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03854019","NCT03854019")		2019	Evaluating the Efficacy of Dextromethorphan/Quinidine in Treating Irritability in Huntington's Disease	Evaluating the Efficacy of Dextromethorphan/Quinidine in Treating Irritability in Huntington's Disease		3	Yes	Dextromethorphan/quinidine 20mg/10mg (DM/Q 20mg/10mg) (Drug); Placebo (Drug)	The University of Texas Health Science Center, Houston	Other		Inclusion Criteria: - Verified HD mutation carriers; - Irritable as diagnosed by the Irritability Scale with a score > 14; - Stable concomitant medication (no change of medication during last 30 days prior to inclusion); - Written informed consent by prospective study participant before conduct of any trial-related procedure. Participant must be able to make an informed decision of whether or not to participate in the study. 	Exclusion Criteria: - Hypersensitivity to dextromethorphan (e.g., rash, hives), quinine, mefloquine, quinidine, or dextromethorphan/quinidine with a history of thrombocytopenia, hepatitis, bone marrow depression or lupus-like syndrome induced by these drugs; - Pregnant or nursing women; - Active suicidality based on the answer "yes" in questions 4 and 5 of the Columbia-Suicide Severity Rating Scale (baseline version); - Woman of childbearing potential, not using highly effective methods of contraception such as oral, topical or injected contraception, IUD, contraceptive vaginal ring, or double barrier method such as diaphragm and condom with spermicide) or not surgically sterile (via hysterectomy, ovarectomy or bilateral tubal ligation) or not at least one year post-menopausal; - Male not using an acceptable barrier method for contraception; - Presence of any medically not controllable disease (e.g. uncontrolled arterial hypertension or diabetes mellitus); - Clinically significant renal (calculated creatinine clearance < 30 ml/min) or hepatic dysfunction; - Patients with pre-existing hepatic disease; - Individuals with a history or complete heart block, QTc prolongation or tornadoes de pointes, or at high risk of complete AV block; - Family history of congenital QT prolongation; - History of unexplained syncope within the past year; - Use of drugs containing quinidine, quinine, or mefloquine; - Individuals currently taking strong CYP3A4 inhibitors or tetrabenazine; - Use of certain antidepressants--amitriptyline, clomipramine, desipramine, fluoxetine, paroxetine, sertraline, venlafaxine; - Use of certain heart rhythm medications--amiodarone, flecainide, procainamide, propafenone; - Use of certain medicines to treat psychiatric disorders--chlorpromazine, haloperidol, perphenazine, pimozide, quetiapine, risperidone, thioridazine. - Use of tamoxifen; - Presence or history of seizures or diagnosed epilepsy; - Severe cognitive disorders defined as a score < 18 on the MOCA; - Clinically relevant abnormal findings in the ECG, the vitals, in the physical examination or laboratory values at screening that could interfere with the objectives of the study or the safety of the subject as judged by the investigator; - Participation in another investigative drug trial within 2 months; - Subjects who are unlikely to be compliant and attend scheduled clinic visits as required as determined by the Investigator.			22	Anticipated	Recruiting
NCT01851850	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01851850","NCT01851850")		2013	Continuation Treatment Protocol for Patient Who Participated in the BIA 9-1067-302 Clinical Trial	Continue Providing Care for Patient Who Participated in the BIA 9-1067-302 Clinical Trial		3	No	Opicapone (Drug)	Rabin Medical Center	Other		Inclusion Criteria: - clinical diagnosis with PD - subjects who are willing to participate in the trial. - subjects who participated in the BIA 9-1067-302 clinical trial. 	Exclusion Criteria: - subjects who didn't take part at the BIA 9-1067-302 clinical trial.			1	Anticipated	Unknown status
NCT02243982	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02243982","NCT02243982")		2010	Predictive and Diagnostic Value of Tau and Beta-amyloid Markers in the Dementia of Parkinson's Disease	Predictive and Diagnostic Value of Tau and Beta-amyloid Markers in Cerebrospinal Fluid and Positron Emission Tomography in the Dementia of Parkinson's Disease		Early 1	Yes	[F18]-FDDNP (Other)	Fundacion Clinic per a la Recerca Biomédica	Other		Inclusion Criteria: Inclusion Criteria PDD - Male or female ≥ 60 years old; - Diagnose of PD probable or definite according to criteria of the United Kingdom Parkinson's Disease Society Brain Bank; - The Hoehn & Yahr stage of the disease between 3 and 5 in off state; - Diagnose of dementia established according to the fourth edition of Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) and the diagnostic guidelines for dementia of the Movement Disorders Society (MDS); - The score of the Mini-Mental State Examination of Folstein (MMSE) <24; - The score on the Mattis Dementia Rating Scale (MDRS) <136. Inclusion criteria PDND: - Male or female ≥ 60 years old; - Diagnose of PD probable or definite according to criteria of the United Kingdom Parkinson's Disease Society Brain Bank; - The Hoehn & Yahr stage of the disease between 3 and 5 in OFF state; - The score of the Mini-Mental State Examination of Folstein (MMSE) ≥24; - The score on the Mattis Dementia Rating Scale (MDRS) ≥136. Inclusion criteria Controls: - Male or female ≥ 60 years old; - No known diagnosis of neuropsychiatric diseases - The score of the Mini-Mental State Examination of Folstein (MMSE) ≥24; - The score on the Mattis Dementia Rating Scale (MDRS) ≥136. 	Exclusion Criteria: - The subject is pregnant or breastfeeding; - The subject has a history of drug abuse or alcohol; - The subject has developed dementia in the first year of parkinsonism or before than parkinsonism; - The subject meets criteria for vascular dementia; - The subject has symptoms suggestive of other types of parkinsonism (multi-system atrophy cortico-basal, supra-nuclear palsy progressive degeneration) or degenerative dementia (fronto-temporal dementia); - The subject has a moderate or severe renal functional impairment (serum creatinine> 1.5 mg / dL); - The subject has a moderate or severe hepatic impairment (bilirubin> 2 times the upper limit of normal, transaminases> 3 times the upper limit of normal); - The subject presents structural abnormalities in basal ganglia or cortical level on magnetic resonance imaging or computerized tomography; - The subject has participated in a clinical study with an investigational drug product within 30 days prior to screening and / or radiopharmaceutical in a minimum period of 5 radioactive half-lives prior to screening; - Occupational exposure to radiation> 15 milliSievert (mSv) / year - The subject has received treatment with non-steroidal anti-inflammatory drugs during the 30-day period before the PET scan - The subject has allergy to the investigational product or any of its components; - The subject has a clinically active, serious disease with a reduced life expectancy; - The subject is claustrophobic / a. - The subject has received in the last 364 days a dose of ionizing radiation that coupled with the study dose exceeds 10 mSv			28	Actual	Completed
NCT01765257	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01765257","NCT01765257")		2013	Evaluation of the Efficacy of Rasagiline in Apathy in Drug-naïve Patients With Parkinson's Disease by a Multi-center Study	Evaluation of the Efficacy of Rasagiline in Apathy in Drug-naïve Patients With Parkinson's Disease by a Multi-center, Randomized, Double-blind, Parallel-group, Placebo-controlled Study.		4	No	AZILECT® (Drug); Placebo (Drug)	University Hospital, Clermont-Ferrand	Other		Inclusion Criteria: - Drug-naïve patients with Parkinson's disease (UKPDBB criteria) - No dementia (Mattis dementia rating scale > 130; Mini Mental Sate Examination ≥26) - No depression (MADRS < 15) - Criteria of apathy from Robert et al (2009) - At least mild apathy (≥-21 to Lille Apathy Rating Scale) - Age : 35-70 y - Affiliation to social security - Agreement of patients 	Exclusion Criteria: - - Any antiparkinsonian treatment (L.dopa, dopamine agonists, MAO-B-I, amantadine, anticholinergics). Patients treated by dopamine agonists but who have stopped it more than 3 months before their inclusion can be included. - Ongoing severe psychiatric or somatic diseases - Others treatments : - antipsychotics - antidepressants and anxiolytics (exclusion if the treatment is not stable the month before inclusion) - psychostimulants (methylphenidate, adrafinil, modafinil, deanol, vitamin C, sulbutiamine, glutamic acid, aspartic acid) - any contra-indication according to SmPC - patients under guardianship - Women without efficient contraception - Person who participate to an other study			50	Anticipated	Unknown status
NCT02519036	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02519036","NCT02519036")		2015	Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ISIS 443139 in Participants With Early Manifest Huntington's Disease	A Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Ascending Doses of Intrathecally Administered ISIS 443139 in Patients With Early Manifest Huntington's Disease		1/2	No	ISIS 443139 10 mg (Drug); ISIS 443139 30 mg (Drug); ISIS 443139 60 mg (Drug); ISIS 443139 90 mg (Drug); ISIS 443139 120 mg (Drug); Placebo (Other)	Ionis Pharmaceuticals, Inc.	Industry		Inclusion Criteria: - Diagnosed with early manifest Huntington's disease - Male or female, aged 25 to 65 years, inclusive, at the time of informed consent - Able and willing to meet all study requirements, including travel to Study Center and participation in all procedures and measurements at study visits - Have a trial partner who is reliable, competent and at least 18 years of age, is willing to accompany the participant to select trial visits and to be available to the Study Center by phone if needed - Able to tolerate MRI scans, blood draws and lumbar punctures - Reside within 4 hours travel of the Study Center Key 	Exclusion Criteria: - Clinically significant medical condition, such as severe chorea, active suicidal ideation or any other conditions which would make the participant unsuitable for inclusion or could interfere with the participant participating in or completing the study - Recent treatment with another investigational drug, biological agent, or device - Prior treatment with an antisense oligonucleotide [including small interfering ribonucleic acid (siRNA)] - Any history of gene therapy or cell transplantation or any other experimental brain surgery - Presence of an implanted shunt for the drainage of cerebrospinal fluid (CSF) or an implanted central nervous system (CNS) catheter - History of post-lumbar-puncture headache of moderate or severe intensity and/or blood patch - Malignancy within 5 years of Screening, except for basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix that has been successfully treated - Hospitalization for any major medical or surgical procedure involving general anesthesia within 12 weeks of Screening or planned during the study			46	Actual	Completed
NCT03344601	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03344601","NCT03344601")		2018	PHysical Activity and Exercise Outcomes in Huntington's Disease	A Longitudinal Cohort Study With Nested Randomised Pragmatic Controlled Trial to Evaluate Physical Activity and Exercise Related Outcomes in People With Huntington's Disease		N/A	No	physical activity (Behavioral)	Cardiff University	Other		Inclusion Criteria: - Diagnosis of HD, confirmed by genetic testing - Above the age of 18 - A participant (current or newly enrolled) in the Enroll-HD study - Up to and including stage 2 disease status (TFC 7-13) 	Exclusion Criteria: - Diagnosis of juvenile onset HD - History of co-morbid neurological conditions such as multiple sclerosis or stroke - Acute orthopaedic conditions (within a month) e.g. ankle sprain or fracture - Inability or unwillingness of participant or legal guardian to give written informed consent			116	Actual	Active, not recruiting
NCT01120002	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01120002","NCT01120002")		2010	Efficacy and Safety of Tamibarotene (OAM80) for Alzheimer's Disease			2	No	Tamibarotene (Drug); Placebo (Drug)	Osaka City University	Other		Inclusion Criteria: - Japanese patients who are diagnosed as probable Alzheimer' Disease according to NINCDS-ADRDA criteria - Diagnosed by brain diagnostic imaging (CT, MRI) within six months before the consent and no occurrence of the event after that to suggest cerebral vascular disease - Mild to Moderate Alzheimer's Disease of MMSE from 10 to 26 - Age from 55 to 80 - Treated for a minimum of 12 weeks with a stable dose of donepezil and willing to continue the same during the trial period - For women Menopause ≥ 2 years - For men contraceptive measures are required during the study and after 6 months - In principle patients should be living at their home in the presence of a caregiver who is defined as a healthy person in contact with the patient for more than 10 hours a week, could provide required information of the behavior and activities of daily living, accompany all the clinical examination, and supervise the handling and administration of the drug throughout the study period. - Patients who could take pills as a whole - Patient, caregiver and patient surrogate are able and willing to comply with study visits and procedures per protocol, understand, sign, and date the written voluntary informed consent form 	Exclusion Criteria: - Any cause of dementia not due to Alzheimer's disease - Past history of other central nervous condition or psychiatric disease - Symptom of depression and drug addiction - Impairment in the physical function by other factor than the Alzheimer's Disease - Patients who are expected to move in to care facilities during the study period - triglyceride > 400 mg/dL			50	Anticipated	Unknown status
NCT01594346	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01594346","NCT01594346")		2000	Multicenter Vitamin E Trial in Aging Persons With Down Syndrome			3	No	Alpha-Tocopherol (Drug); Sugar Pill (Drug)	New York State Institute for Basic Research	Other		Inclusion Criteria: - presence of clinically determined Down syndrome (karyotypes optional) - appropriately signed and witnessed consent form - age of 50 years or older at the start of the protocol - medically stable - medications stable more than 1 month - involvement/cooperation of informant/caregiver 	Exclusion Criteria: - medical/neurological condition (other than Alzheimer disease) associated with dementia - inability to adequately perform the Brief Praxis Test, as demonstrated by a score <20 - in the presence of dementia, modified Hachinski score > 4 at Screening Visit - major depression within 3 months - history of coagulopathy (inherited or acquired) - current use of anticoagulants - use of experimental medications within 2 months - regular use of vitamin E greater than 50 units per day during the previous 6 months - allergy to vitamin E			349	Actual	Completed
